NAME,total_housing_units,owner_occupied,renter_occupied,median_household_income,rent_burden_30_34,rent_burden_35_39,rent_burden_40_49,rent_burden_50_plus,rent_burden_total,education_total,no_schooling,nursery_school,total_population,white_non_hispanic,state,county,tract
Census Tract 113; King County; Washington,2811,1816,995,127075,34,82,89,507,995,5116,157,0,6969,3040,53,033,011300
Census Tract 114.01; King County; Washington,1880,995,885,101563,77,70,51,200,885,3968,74,0,5188,2510,53,033,011401
Census Tract 114.02; King County; Washington,1926,1071,855,107632,63,66,6,94,855,3269,65,0,4426,1931,53,033,011402
Census Tract 115; King County; Washington,2019,1440,579,124613,46,95,74,152,579,3416,10,0,4370,2936,53,033,011500
Census Tract 116.01; King County; Washington,1426,1187,239,164157,8,0,14,57,239,2596,0,0,3337,2397,53,033,011601
Census Tract 116.02; King County; Washington,1486,1093,393,148125,45,46,16,80,393,2701,13,0,3615,2924,53,033,011602
Census Tract 117; King County; Washington,1711,1181,530,87125,21,0,0,222,530,4351,410,0,5742,981,53,033,011700
Census Tract 118.01; King County; Washington,1220,733,487,92049,32,27,34,134,487,2204,95,0,3361,898,53,033,011801
Census Tract 118.02; King County; Washington,1980,919,1061,68942,90,37,130,324,1061,3331,136,49,4918,1333,53,033,011802
Census Tract 119.01; King County; Washington,1430,1048,382,146250,14,125,35,26,382,3557,328,0,4553,1044,53,033,011901
Census Tract 119.02; King County; Washington,1207,1047,160,130865,0,28,44,0,160,2432,57,0,3034,1088,53,033,011902
Census Tract 120; King County; Washington,1482,1217,265,117500,18,0,34,51,265,2475,19,0,3373,2675,53,033,012000
Census Tract 121; King County; Washington,1211,1100,111,187131,0,31,10,21,111,2134,0,0,2772,2187,53,033,012100
Census Tract 201; King County; Washington,1359,1220,139,146065,6,0,12,8,139,2747,0,0,3409,2615,53,033,020100
Census Tract 202; King County; Washington,2295,1685,610,97212,0,84,62,271,610,4418,15,0,5453,4176,53,033,020200
Census Tract 203.01; King County; Washington,1602,558,1044,92642,81,63,64,267,1044,2617,39,10,3530,2020,53,033,020301
Census Tract 203.02; King County; Washington,1448,885,563,96090,30,74,106,157,563,3028,36,0,3887,1908,53,033,020302
Census Tract 204.01; King County; Washington,1549,1017,532,98472,55,115,27,59,532,3102,41,0,4221,2855,53,033,020401
Census Tract 204.02; King County; Washington,2246,1581,665,121484,55,71,23,182,665,3907,20,0,5523,3829,53,033,020402
Census Tract 205; King County; Washington,3129,2120,1009,131563,137,124,115,235,1009,5609,52,0,7761,4220,53,033,020500
Census Tract 206; King County; Washington,1171,1032,139,165708,16,7,29,21,139,2840,80,0,4020,1812,53,033,020600
Census Tract 207; King County; Washington,1779,796,983,100046,91,168,58,175,983,3193,42,0,4140,2456,53,033,020700
Census Tract 208; King County; Washington,1798,1428,370,163816,108,28,0,61,370,3484,8,0,4686,3535,53,033,020800
Census Tract 209; King County; Washington,1600,1132,468,111923,103,30,0,109,468,3033,13,0,3941,2625,53,033,020900
Census Tract 210; King County; Washington,2214,1697,517,115000,91,95,0,63,517,4730,202,0,5786,3527,53,033,021000
Census Tract 211; King County; Washington,1627,1145,482,119219,21,14,23,100,482,3360,23,0,4222,2939,53,033,021100
Census Tract 213; King County; Washington,1827,1134,693,125125,103,27,143,129,693,3326,25,0,4327,2478,53,033,021300
Census Tract 214; King County; Washington,1532,1225,307,159100,0,0,114,38,307,2933,0,0,3985,3158,53,033,021400
Census Tract 215; King County; Washington,1719,1538,181,192676,32,0,7,27,181,3310,9,0,4798,3587,53,033,021500
Census Tract 216; King County; Washington,2072,1521,551,128571,86,68,47,111,551,3851,50,0,5407,3831,53,033,021600
Census Tract 217.01; King County; Washington,1457,973,484,180977,107,11,47,96,484,3359,6,0,4599,2233,53,033,021701
Census Tract 217.02; King County; Washington,2326,1107,1219,83357,57,0,288,163,1219,3867,27,0,5204,2966,53,033,021702
Census Tract 218.02; King County; Washington,2221,1315,906,153801,77,1,41,215,906,4073,13,0,6062,3733,53,033,021802
