NAME,total_housing_units,owner_occupied,renter_occupied,median_household_income,rent_burden_30_34,rent_burden_35_39,rent_burden_40_49,rent_burden_50_plus,rent_burden_total,education_total,no_schooling,nursery_school,total_population,white_non_hispanic,state,county,tract,pct_renters,pct_cost_burdened,pct_poc,income_inverted,pct_renters_norm,pct_cost_burdened_norm,pct_poc_norm,income_inverted_norm,displacement_risk_score
Census Tract 1.01; King County; Washington,1730,159,1571,69028,58,95,223,392,1571,2633,0,0,3370,1289,53,33,101,0.9080924855491329,0.48886059834500317,0.6175074183976261,1.4486874891348438e-05,0.906448189151236,0.5790051058412449,0.6486386393576667,0.29237737352815746,0.6066173269695763
Census Tract 46; King County; Washington,1412,897,515,163056,108,7,10,42,515,2768,0,0,3753,3113,53,33,4600,0.36473087818696887,0.32427184466019415,0.17053024247268855,6.132862329506427e-06,0.35336542308861896,0.38406665289540726,0.1293475918700199,0.05946522858703278,0.23156122411026972
Census Tract 47.01; King County; Washington,2318,621,1697,112872,151,168,124,399,1697,2690,0,0,3596,2340,53,33,4701,0.7320966350301984,0.49616971125515613,0.3492769744160178,8.85959316748175e-06,0.7273036369751831,0.587661998436958,0.3370127315357484,0.1354872268122676,0.4468663984400393
Census Tract 47.02; King County; Washington,2307,899,1408,137487,47,13,116,291,1408,3013,0,0,3458,2200,53,33,4702,0.6103164282618119,0.33167613636363635,0.3637941006362059,7.273414941048972e-06,0.6033446882777953,0.39283627498388135,0.3538785002761591,0.09126414595830394,0.3603309023740349
Census Tract 47.03; King County; Washington,2082,525,1557,160833,70,169,30,230,1557,3060,0,0,4111,2793,53,33,4703,0.7478386167146974,0.32048811817597944,0.3206032595475553,6.217629466589568e-06,0.7433272548668436,0.3795852179814792,0.3037000609310495,0.06182855945018383,0.372110273307389
Census Tract 48; King County; Washington,2435,1262,1173,145329,69,80,49,90,1173,4232,0,0,5108,3718,53,33,4800,0.4817248459958932,0.24552429667519182,0.2721221613155834,6.88093911056981e-06,0.4724525033159704,0.29079828045926975,0.24737548410643767,0.08032181293716532,0.27273702020471075
Census Tract 49.01; King County; Washington,2053,794,1259,119969,180,0,169,174,1259,3080,0,0,3883,2925,53,33,4901,0.6132489040428641,0.41540905480540113,0.2467164563481844,8.335486667389075e-06,0.6063296283148175,0.4920093060461134,0.2178595359657248,0.12087499488054369,0.3592683663017998
Census Tract 49.02; King County; Washington,1858,520,1338,124743,232,54,64,90,1338,2590,0,0,3359,2509,53,33,4902,0.7201291711517761,0.32884902840059793,0.253051503423638,8.016481886759177e-06,0.7151220659275612,0.38948785633262306,0.22521949394319507,0.11198105473466008,0.3604526177345098
Census Tract 50; King County; Washington,2508,594,1914,108994,207,238,162,380,1914,3575,22,0,4625,2884,53,33,5000,0.7631578947368421,0.5156739811912225,0.3764324324324324,9.1748169624016e-06,0.7589206066012489,0.6107628004179728,0.36856151522737673,0.14427575204702917,0.4706301685734069
Census Tract 51; King County; Washington,1599,976,623,147656,52,4,20,198,623,2766,10,0,3848,2987,53,33,5100,0.3896185115697311,0.43980738362760835,0.22375259875259879,6.772498239150458e-06,0.37869831544903887,0.5209066174880184,0.19118048766646356,0.07729845191459139,0.29202096812952805
Census Tract 52.01; King County; Washington,1758,635,1123,113298,76,92,100,406,1123,2653,0,0,3675,2035,53,33,5201,0.6387940841865757,0.6001780943900267,0.44625850340136053,8.826281134706703e-06,0.6323318314554504,0.7108492323626557,0.449684345404036,0.13455847826795436,0.4818559718725241
Census Tract 52.02; King County; Washington,1753,66,1687,48573,57,194,168,465,1687,1731,26,0,3056,1321,53,33,5202,0.9623502567027952,0.5240071132187315,0.5677356020942408,2.058756922570152e-05,0.9616766737247849,0.6206325383512635,0.5908145265938237,0.46246639273009144,0.658897532849991
Census Tract 53.03; King County; Washington,51,0,51,38625,0,10,5,21,51,139,0,0,3943,1516,53,33,5303,1.0,0.7058823529411765,0.6155211767689577,2.5889967637540453e-05,1.0,0.8360450563204006,0.6463310550972838,0.6102987042440581,0.7731687039154356
Census Tract 53.04; King County; Washington,157,0,157,25083,0,11,4,111,157,127,0,0,3428,1299,53,33,5304,1.0,0.802547770700637,0.6210618436406068,3.986763943706893e-05,1.0,0.9505353028865701,0.6527681146576627,1.0,0.9008258543860581
Census Tract 53.05; King County; Washington,1190,22,1168,28864,30,49,157,634,1168,655,0,0,2137,905,53,33,5305,0.9815126050420168,0.7448630136986302,0.5765091249415069,3.464523281596452e-05,0.9811818512715821,0.8822136403380939,0.601007467340934,0.8543978813927042,0.8297002100858286
